id;filename;description
0076;APC_0562.jpg;Le musée des deuxièmes fois.
0077;APC_0563.jpg;Un musée à l’envers.
0078;APC_0564.jpg;Le musée de ce qui tient debout.
0079;APC_0565.jpg;The museum of distances.
0080;APC_0566.jpg;A museum too small to see.
0081;APC_0567.jpg;Le musée des promesses tenues.
0082;APC_0568.jpg;Le musée du contrôle.
0083;APC_0569.jpg;Le musée du tropisme.
0084;APC_0570.jpg;A museum without a purpose.
0085;APC_0571.jpg;Le musée du bien commun.
0086;APC_0572.jpg;Le musée du vent.
0087;APC_0573.jpg;The museum of self-delusion.
0088;APC_0574.jpg;Le musée de la vérité.
0089;APC_0575.jpg;Le musée de la performance.
0090;APC_0576.jpg;The museum of common measures.
0091;APC_0579.jpg;Le musée des géopolitiques.
0092;APC_0580.jpg;Le musée de l’avertissement.
0093;APC_0581.jpg;Le musée dur le zen.
0094;APC_0582.jpg;The museum of contained fires.
0095;APC_0583.jpg;Le musée des phrases ponctuées.
0096;APC_0584.jpg;The museum of diminishing returns.
0097;APC_0585.jpg;Le musée de la figuration.
0098;APC_0586.jpg;Le musée des bosses roulées.
0099;APC_0587.jpg;Le musée du vertige.
0100;APC_0588.jpg;Le musée des démarrages en côte.
0101;APC_0589.jpg;Le musée de l’ignorance.
0102;APC_0590.jpg;Le musée de ce qui tient debout.
0103;APC_0591.jpg;A museum slightly below zero.
0104;APC_0592.jpg;The museum of convoluted processes.
0105;APC_0593.jpg;The museum of partial truths.
0106;APC_0594.jpg;This museum is not going to fly.
0107;APC_0595.jpg;The museum of spiritual fraudulence.
0108;APC_0596.jpg;The museum of defeated purposes.
0109;APC_0597.jpg;Le musée des spirales infernales.
0110;APC_0598.jpg;The museum of deep cuts.
0111;APC_0599.jpg;A museum that is not being helpful.
0112;APC_0600.jpg;The museum of heavy feelings.
0113;APC_0601.jpg;Le musée du temps perdu.
0114;APC_0602.jpg;Le musée des apologies.
0115;APC_0603.jpg;Le musée des hyphenations.
0116;APC_0604.jpg;Le musée des goûts.\nLe musée des couleurs.
0117;APC_0605.jpg;Le musée des contenances.
0118;APC_0606.jpg;Le musée de l’intérêt commun.
0119;APC_0607.jpg;The museum of shapes.
0120;APC_0608.jpg;The museum of forms.
0121;APC_0609.jpg;The museum of recent pasts.
0122;APC_0610.jpg;The museum of weights.\nThe museum of biases.
0123;APC_0611.jpg;Le musée du temps tué.
0124;APC_0612.jpg;The museum of echo chambers.
0125;APC_0613.jpg;Le musée de l’esbroufe.
0126;APC_0614.jpg;Le musée du laisser-aller.\nLe musée du laisser-revenir.
0127;APC_0615.jpg;The museum of balancing acts.
0128;APC_0616.jpg;Le musée de l’entropie.
0129;APC_0617.jpg;A museum looking for itself.
0130;APC_0618.jpg;Deux musées concomitants.
0131;APC_0619.jpg;The museum of greater causes.
0132;APC_0620.jpg;Le musée des boucles bouclées.
0133;APC_0621.jpg;The museum of low hanging fruits.
0134;APC_0622.jpg;Le musée des entraves.
0135;APC_0623.jpg;Le musée des dispositions.
0136;APC_0624.jpg;The museum of loopholes.
0137;APC_0625.jpg;Le musée des lundis.
0138;APC_0626.jpg;Le musée de l’autodérision.
0139;APC_0627.jpg;Le musée en lieu et place.
0140;APC_0628.jpg;The museum of logarithmic complexities.
0141;APC_0629.jpg;Un musée vertigineux.
0142;APC_0630.jpg;Le musée du temps long.
0143;APC_0631.jpg;Le musée des macrocosmes.
0144;APC_0632.jpg;Le musée sur l’homogénéité.
0145;APC_0633.jpg;Yesterday, this museum was a cube.
0146;APC_0634.jpg;A self improving museum.
0147;APC_0635.jpg;This museum should be able\nto do better than that.
0148;APC_0636.jpg;The museum of sameness.
0149;APC_0637.jpg;Le musée qui est aussi une métaphore.
0150;APC_0638.jpg;The museum of self inflictions.
0151;APC_0639.jpg;The museum of best efforts.
0152;APC_0640.jpg;A purpose built museum.
0153;APC_0641.jpg;Le musée des ciels qui tombent sur des têtes.
0154;APC_0642.jpg;Le musée des monotonies.
0155;APC_0644.jpg;The museum of heavy liftings.
0156;APC_0645.jpg;Le musée des deuxièmes chances.
0157;APC_0646.jpg;The museum of tipping points.
0158;APC_0647.jpg;Le musée de la futurologie.
0159;APC_0648.jpg;Le musée des états de faits.
0160;APC_0649.jpg;Le musée des cercles de lumière.
0161;APC_0650.jpg;Ce musée est létal.
0162;APC_0651.jpg;A full stack museum.
0163;APC_0652.jpg;Le musée des concours.\nLe musée des circonstances.
0164;APC_0653.jpg;The museum of long runs.
0165;APC_0654.jpg;Le musée des répétitions à double sens.
0166;APC_0655.jpg;The museum of healthy skepticism.
0167;APC_0656.jpg;The museum that is not your home.
0168;APC_0657.jpg;The museum of fatal flaws.
0169;APC_0658.jpg;Un musée à géométrie variable.
0170;APC_0659.jpg;The museum of rounding errors.
0171;APC_0660.jpg;The museum of soft beings.
0172;APC_0661.jpg;A museum growing as a person.
0173;APC_0662.jpg;The museum that is floating in space.
0174;APC_0663.jpg;Le musée des pieds sur lesquels danser.
0175;APC_0664.jpg;Le musée de la consternation.
0176;APC_0665.jpg;Le musée de ce qui sépare mais qui quand même tient ensemble.
0177;APC_0666.jpg;The museum of fine lines.
0178;APC_0667.jpg;The museum of missed targets.
0179;APC_0668.jpg;A data driven museum.
0180;APC_0669.jpg;A museum that successfully tried.
0181;APC_0670.jpg;The museum of lost signals.
0182;APC_0671.jpg;The museum that doesn’t look like itself.
0183;APC_0672.jpg;The museum of sub optimal solutions.
0184;APC_0673.jpg;The museum of kill switches.
0185;APC_0674.jpg;Le musée qui ne mange pas de pain.
0186;APC_0675.jpg;Le musée de l’indifférence.
0187;APC_0676.jpg;The museum of systems for things.
0188;APC_0677.jpg;Le musée du temps économisé.
0189;APC_0678.jpg;A computer generated museum.
0190;APC_0679.jpg;This museum is running out of time.
0191;APC_0680.jpg;Un musée au fond du trou.
0192;APC_0681.jpg;A museum up in the air.
0193;APC_0682.jpg;A museum open for interpretation.
0194;APC_0683.jpg;Le musée des bifurcations.
0195;APC_0684.jpg;The museum of privacy.
0196;APC_0685.jpg;Deux musées intimement liés.
0197;APC_0686.jpg;The museum of social structures.
0198;APC_0687.jpg;Two museums pointed in the same direction.
0199;APC_0688.jpg;Le musée du silence.
0200;APC_0689.jpg;The museum of resting wrists.
0201;APC_0690.jpg;The museum that has a room for improvement.
0202;APC_0691.jpg;The museum that couldn’t be further from the truth.
0203;APC_0692.jpg;The museum of forward progress.
0204;APC_0693.jpg;Le musée de l’ennui.
0205;APC_0694.jpg;Le musée des choix qu’on ne\nquestionnerait pas.
0206;APC_0695.jpg;The museum of regular bases.
0207;APC_0696.jpg;The museum that is going somewhere
0208;APC_0697.jpg;The museum of silent failures.
0209;APC_0698.jpg;The museum you called wring.
0210;APC_0699.jpg;The eagerly instantiated museum.
0211;APC_0700.jpg;The museum of tight screws.
0404;APC_0701.jpg;Museum not found.
